ཨཱོ o:_⁵⁵
ཐྲིབ _th_ip_⁵⁵
ཐྲིན _th_in_⁵⁵
ཐྲིད _th_i?_⁵⁵
ཐྲིངས _th_iŋ_⁵⁵
ཐྲིང _th_iŋ_⁵⁵
ཐྲིགས _th_i?_⁵⁵
ཐྲིག _th_i?_⁵⁵
ཐྲི _th_i_⁵⁵
ཐྲས _th_ɛ?_⁵⁵
ཐྲལ _th_el_⁵⁵
ཐྲར _th_ar_⁵⁵
ཐྲམས _th_am_⁵⁵
ཐྲམ _th_am_⁵⁵
ཐྲབས _th_ap_⁵⁵
ཐྲབ _th_ap_⁵⁵
ཐྲན _th_an_⁵⁵
ཐྲད _th_ɛ_⁵⁵
ཐྲངས _th_aŋ_⁵⁵
ཐྲང _th_aŋ_⁵⁵
ཐྲགས _th_a?_⁵⁵
ཐྲག _th_a?_⁵⁵
ཐྲ _th_a_⁵⁵
ཐཱང _th_a:ŋ_⁵⁵
ཏཱ _t_a:_⁵⁵
ཊ _t_a_⁵⁵
གཱ _kh_a:_¹³
ཀཱ _k_a:_⁵⁵
ཀའོ _k_ø_⁵⁵
ཀལ _k_ɛ:_⁵⁵
ཀིངས _k_iŋ_⁵¹
ཀིད _k_i?_⁵¹
ཀིས _k_i?_⁵¹
ཀུ _k_u_⁵⁵
ཀུད _k_y?_⁵¹
ཀུབ _k_up_⁵¹
ཀེད _k_e?_⁵¹
ཀེབ _k_ep_⁵¹
ཀེབས _k_ep_⁵¹
ཀེས _k_e?_⁵¹
ཀོའོ _k_o_⁵⁵
ཀྭ _k_a_⁵⁵
ཀྭག _k_a?_⁵¹
ཀྭང _k_aŋ_⁵⁵
ཀྭབ _k_ap_⁵¹
ཀྭམ _k_am_⁵⁵
ཀྭར _k_ar_⁵⁵
ཀྱན _c_an_⁵⁵
ཀྱབ _c_ap_⁵¹
ཀྱིད _c_i?_⁵¹
ཀྱིབ _c_ip_⁵¹
ཀྱིམ _c_im_⁵⁵
ཀྱིའི _c_i:_⁵⁵
ཀྱུད _c_y?_⁵¹
ཀྱུབ _c_up_⁵¹
ཀྱུམ _c_um_⁵⁵
ཀྱུའི _c_y:_⁵⁵
ཀྱུལ _c_y:_⁵⁵
ཀྱེག _c_e?_⁵¹
ཀྱེང _c_eŋ_⁵⁵
ཀྱེན _c_en_⁵⁵
ཀྱེབ _c_ep_⁵¹
ཀྱེམ _c_em_⁵⁵
ཀྱེར _c_er_⁵⁵
ཀྱེས _c_e?_⁵¹
ཀྱོད _c_ø?_⁵¹
ཀྱོབ _c_op_⁵¹
ཀྱོལ _c_ø:_⁵⁵
ཀྱོས _c_ø?_⁵¹
ཀྲ _tʂ_a_⁵⁵
ཀྲའོ _tʂ_ø_⁵⁵
ཀྲར _tʂ_ar_⁵⁵
ཀྲལ _tʂ_ɛ:_⁵⁵
ཀྲས _tʂ_ɛ?_⁵¹
ཀྲིད _tʂ_i?_⁵¹
ཀྲིབ _tʂ_ip_⁵¹
ཀྲིམ _tʂ_im_⁵⁵
ཀྲིམས _tʂ_im_⁵¹
ཀྲིར _tʂ_ir_⁵⁵
ཀྲིལ _tʂ_i:_⁵⁵
ཀྲིས _tʂ_i?_⁵¹
ཀྲུད _tʂ_y?_⁵¹
