ཨཱོ་	o:_⁵⁵ 
ཁྲེང་	_tʂh_eŋ_⁵⁵
ཁྲེབ་	_tʂh_ep_⁵¹
ཁྲེལ་	_tʂh_e:_⁵⁵
ཁྲེས་	_tʂh_e?_⁵¹
ཁྲོ་	_tʂh_o_⁵⁵
ཁྲོག་	_tʂh_o?_⁵¹
ཁྲོད་	_tʂh_ø?_⁵¹
ཁྲོན་	_tʂh_on_⁵⁵
ཁྲོམ་	_tʂh_om_⁵⁵
ཁྲོལ་	_tʂh_ø:_⁵⁵
ག་	_kh_a_¹³
གག་	_kh_a?_¹³²
གང་	_kh_aŋ_¹³
གངས་	_kh_aŋ_¹³²
གཅན་	_tɕ_an_⁵⁵
གཅིག་	_tɕ_i?_⁵¹
གཅིན་	_tɕ_in_⁵⁵
གཅུང་	_tɕ_uŋ_⁵⁵
གཅུས་	_tɕ_y?_⁵¹
གཅེན་	_tɕ_en_⁵⁵
གཅེར་	_tɕ_er_⁵⁵
གཅེས་	_tɕ_e?_⁵¹
གཅོང་	_tɕ_oŋ_⁵⁵
གཅོད་	_tɕ_ø?_⁵¹
གཉའ་	_ȵ_a_¹³
གཉིད་	_ȵ_i?_¹³²
གཉིས་	_ȵ_i?_¹³²
གཉེན་	_ȵ_en_¹³
གཉེར་	_ȵ_er_¹³
གཏང་	_t_aŋ_⁵⁵
གཏད་	_t_ɛ?_⁵¹
གཏན་	_t_an_⁵⁵
གཏམ་	_t_am_⁵⁵
གཏིང་	_t_iŋ_⁵⁵
གཏུག་	_t_u?_⁵¹
གཏུབ་	_t_up_⁵¹
གཏུམ་	_t_um_⁵⁵
གཏེ་	_t_e_⁵⁵
གཏེར་	_t_er_⁵⁵
གཏོགས་	_t_o?_⁵¹
གཏོང་	_t_oŋ_⁵⁵
གཏོད་	_t_ø?_⁵¹
གཏོར་	_t_or_⁵⁵
གཏོལ་	_t_ø:_⁵⁵
གད་	_th_a_¹³
གདངས་	_th_aŋ_¹³²
གདན་	_th_an_¹³
གདམས་	_th_am_¹³²
གདུག་	_th_u?_¹³²
གདུགས་	_th_u?_¹³²
གདུང་	_th_uŋ_¹³
གདུབ་	_th_up_¹³²
གདེང་	_th_eŋ_¹³
གདོང་	_th_oŋ_¹³
གན་	_n_a_¹³
གནག་	_n_a?_¹³²
གནང་	_n_aŋ_⁵⁵
གནད་	_n_ɛ?_¹³²
གནམ་	_n_am_¹³
གནའ་	_n_a_¹³
གནས་	_n_ɛ?_¹³²
གནོད་	_n_ø?_¹³²
གནོན་	_n_on_¹³
གམ་	_kh_am_¹³
གཙག་	_ts_a?_⁵¹
གཙགས་	_ts_a?_⁵¹
གཙབ་	_ts_ap_⁵¹
གཙུག་	_ts_u?_⁵¹
གཙོ་	_ts_o_⁵⁵
གཙོའི་	_ts_ø:_⁵⁵
གཞན་	_ɕ_an_¹³
གཞས་	_ɕ_ɛ?_¹³²
གཞི་	_ɕ_i_¹³
གཞིག་	_ɕ_i?_¹³²
གཞིའི་	_ɕ_i:_¹³
གཞིར་	_ɕ_ir_¹³
གཞིས་	_ɕ_i?_¹³²
གཞུ་	_ɕ_u_¹³
གཞུག་	_ɕ_u?_¹³²
གཞུང་	_ɕ_uŋ_¹³
གཞུས་	_ɕ_y?_¹³²
གཞོང་	_ɕ_oŋ_¹³
གཞོན་	_ɕ_on_¹³
གཞོབ་	_ɕ_op_¹³²
གཟན་	_s_an_¹³
གཟབ་	_s_ap_¹³²
གཟའ་	_s_a_¹³
གཟར་	_s_ar_¹³
གཟི་	_s_i_¹³
གཟིག་	_s_i?_¹³²
གཟིགས་	_s_i?_¹³²
གཟིངས་	_s_iŋ_¹³²
གཟིམ་	_s_im_¹³
གཟུགས་	_s_u?_¹³²
གཟེད་	_s_e?_¹³²
གཟེབ་	_s_ep_¹³²
གཟེར་	_s_er_¹³
གཟོང་	_s_oŋ_¹³
གའི་	_kh_ɛ:_¹³
གཡག་	_j_a?_¹³²
གཡང་	_j_aŋ_¹³
གཡབ་	_j_ap_¹³²
གཡའ་	_j_a_¹³
གཡར་	_j_ar_¹³
གཡས་	_j_ɛ?_¹³²
གཡུ་	_j_u_¹³
གཡུག་	_j_u?_¹³²
གཡུགས་	_j_u?_¹³²
གཡུར་	_j_ur_¹³
གཡུལ་	_j_y:_¹³
གཡེང་	_j_eŋ_¹³
གཡོ་	_j_o_¹³
གཡོག་	_j_o?_¹³²
གཡོགས་	_j_o?_¹³²
གཡོན་	_j_on_¹³
གར་	_kh_ar_¹³
གལ་	_kh_ɛ:_¹³
གཤགས་	_ɕ_a?_⁵¹
གཤམ་	_ɕ_am_⁵⁵
གཤིབ་	_ɕ_ip_⁵¹
གཤིས་	_ɕ_i?_⁵¹
གཤེར་	_ɕ_er_⁵⁵
གཤོག་	_ɕ_o?_⁵¹
གཤོམ་	_ɕ_om_⁵⁵
གཤོལ་	_ɕ_ø:_⁵⁵
གས་	_s_a_⁵⁵
གསང་	_s_aŋ_⁵⁵
གསད་	_s_ɛ?_⁵¹
གསབ་	_s_ap_⁵¹
གསར་	_s_ar_⁵⁵
གསལ་	_s_ɛ:_⁵⁵
གསིང་	_s_iŋ_⁵⁵
གསུང་	_s_uŋ_⁵⁵
གསུངས་	_s_up_⁵¹
གསུམ་	_s_um_⁵⁵
གསེང་	_s_eŋ_⁵⁵
གསེབ་	_s_ep_⁵¹
གསེར་	_s_er_⁵⁵
གསོ་	_s_o_⁵⁵
གསོག་	_s_o?_⁵¹
གསོད་	_s_ø?_⁵¹
གསོལ་	_s_ø:_⁵⁵
གསོས་	_s_ø?_⁵¹
གི་	_kh_i_¹³
གིའི་	_kh_i:_¹³
གིར་	_kh_ir_¹³
གིས་	_kh_i?_¹³²
གུ་	_kh_u_¹³
གུག་	_kh_u?_¹³²
གུང་	_kh_uŋ_¹³
གུན་	_kh_yn_¹³
གུའི་	_kh_y:_¹³
གུར་	_kh_ur_¹³
གུས་	_kh_y?_¹³²
གེ་	_kh_e_¹³
གེའི་	_kh_e:_¹³
གོ་	_kh_o_¹³
གོག་	_kh_o?_¹³²
གོང་	_kh_oŋ_¹³
གོད་	_kh_ø?_¹³²
གོན་	_kh_on_¹³
གོམ་	_kh_om_¹³
གོམས་	_kh_om_¹³²
གོའི་	_kh_ø:_¹³
གོར་	_kh_or_¹³
གོལ་	_kh_ø:_¹³
གོས་	_kh_ø?_¹³²
གྱང་	_ch_aŋ_¹³
གྱར་	_ch_ar_¹³
གྱལ་	_ch_ɛ:_¹³
གྱི་	_ch_i_¹³
གྱིས་	_ch_i?_¹³²
གྱུར་	_ch_ur_¹³
གྱེན་	_ch_en_¹³
གྱེས་	_ch_e?_¹³²
གྱོག་	_ch_o?_¹³²
གྱོང་	_ch_oŋ_¹³
གྱོད་	_ch_ø?_¹³²
གྱོན་	_ch_on_¹³
གྲ་	_tʂh_a_¹³
གྲགས་	_tʂh_a?_¹³²
གྲང་	_tʂh_aŋ_¹³
གྲངས་	_tʂh_aŋ_¹³²
གྲབས་	_tʂhəp_¹³²
གྲལ་	_tʂh_ɛ:_¹³
གྲས་	_tʂh_ɛ?_¹³²
གྲི་	_tʂh_i_¹³
གྲིབ་	_tʂh_ip_¹³²
གྲིའི་	_tʂh_i:_¹³
གྲུ་	_tʂh_u_¹³
གྲུང་	_tʂh_uŋ_¹³
གྲུབ་	_tʂh_up_¹³²
གྲུམ་	_tʂh_um_¹³
གྲུར་	_tʂh_ur_¹³
གྲེས་	_tʂh_e?_¹³²
གྲོ་	_tʂh_o_¹³
གྲོག་	_tʂh_o?_¹³²
གྲོགས་	_tʂh_o?_¹³²
གྲོང་	_tʂh_oŋ_¹³
གྲོངས་	_tʂh_oŋ_¹³²
གྲོད་	_tʂh_ø?_¹³²
གྲོན་	_tʂh_on_¹³
གྲོལ་	_tʂh_ø:_¹³
གྲོས་	_tʂh_ø?_¹³²
གླ་	_l_a_⁵⁵
གླང་	_l_aŋ_⁵⁵
གླིང་	_l_iŋ_⁵⁵
གླུ་	_l_u_⁵⁵
གླེང་	_l_eŋ_⁵⁵
གླེན་	_l_en_⁵⁵
གློ་	_l_o_⁵⁵
གློག་	_l_o?_⁵¹
གློད་	_l_ø?_⁵¹
ང་	_ŋ_a_¹³
ངག་	_ŋ_a?_¹³²
ངང་	_ŋ_aŋ_¹³
ངན་	_ŋ_an_¹³
ངམ་	_ŋ_am_¹³
ངའི་	_ŋ_ɛ:_¹³
ངར་	_ŋ_ar_¹³
ངལ་	_ŋ_ɛ:_¹³
ངས་	_ŋ_ɛ?_¹³²
ངུ་	_ŋ_u_¹³
ངུས་	_ŋ_y?_¹³²
ངེད་	_ŋ_e?_¹³²
ངེར་	_ŋ_er_¹³
ངེས་	_ŋ_e?_¹³²
ངོ་	_ŋ_o_¹³
ངོགས་	_ŋ_o?_¹³²
ངོམ་	_ŋ_om_¹³
ངོམས་	_ŋ_om_¹³²
ངོས་	_ŋ_ø?_¹³²
ཅ་	_tɕ_a_⁵⁵
ཅག་	_tɕ_a?_⁵¹
ཅང་	_tɕ_aŋ_⁵⁵
ཅད་	_tɕ_ɛ?_⁵¹
ཅན་	_tɕ_an_⁵⁵
ཅར་	_tɕ_ar_⁵⁵
ཅལ་	_tɕ_ɛ:_⁵⁵
ཅི་	_tɕ_i_⁵⁵
ཅིག་	_tɕ_i?_⁵¹
ཅིང་	_tɕ_iŋ_⁵⁵
ཅིན་	_tɕ_in_⁵⁵
ཅིས་	_tɕ_i?_⁵¹
ཅུ་	_tɕ_u_⁵⁵
ཅུང་	_tɕ_uŋ_⁵⁵
ཅུན་	_tɕ_yn_⁵⁵
ཅུས་	_tɕ_y?_⁵¹
ཅེམ་	_tɕ_em_⁵⁵
ཅེས་	_tɕ_e?_⁵¹
ཅོ་	_tɕ_o_⁵⁵
ཅོག་	_tɕ_o?_⁵¹
ཆ་	_tɕh_a_⁵⁵
ཆག་	_tɕh_a?_⁵¹
ཆགས་	_tɕh_a?_⁵¹
ཆང་	_tɕh_aŋ_⁵⁵
ཆད་	_tɕh_ɛ?_⁵¹
ཆན་	_tɕh_an_⁵⁵
ཆབ་	_tɕh_ap_⁵¹
ཆམ་	_tɕh_am_⁵⁵
ཆའི་	_tɕh_ɛ:_⁵⁵
ཆར་	_tɕh_ar_⁵⁵
ཆལ་	_tɕh_ɛ:_⁵⁵
ཆས་	_tɕh_ɛ?_⁵¹
ཆི་	_tɕh_i_⁵⁵
ཆིག་	_tɕh_i?_⁵¹
ཆིང་	_tɕh_iŋ_⁵⁵
ཆིངས་	_tɕh_iŋ_⁵¹
ཆིན་	_tɕh_in_⁵⁵
ཆིབས་	_tɕh_ip_⁵¹
ཆིའུ་	_tɕh_i_u_⁵⁵
ཆུ་	_tɕh_u_⁵⁵
ཆུང་	_tɕh_uŋ_⁵⁵
ཆུད་	_tɕh_y?_⁵¹
ཆུབ་	_tɕh_up_⁵¹
ཆུའི་	_tɕh_y:_⁵⁵
ཆུས་	_tɕh_y?_⁵¹
ཆེ་	_tɕh_e_⁵⁵
ཆེད་	_tɕh_e?_⁵¹
ཆེན་	_tɕh_en_⁵⁵
ཆེམ་	_tɕh_em_⁵⁵
ཆེའི་	_tɕh_e:_⁵⁵
ཆེར་	_tɕh_er_⁵⁵
ཆེས་	_tɕh_e?_⁵¹
ཆོག་	_tɕh_o?_⁵¹
ཆོད་	_tɕh_ø?_⁵¹
ཆོབ་	_tɕh_op_⁵¹
ཆོམ་	_tɕh_om_⁵⁵
ཆོལ་	_tɕh_ø:_⁵⁵
ཆོས་	_tɕh_ø?_⁵¹
ཇ་	_tɕh_a_¹³
ཇག་	_tɕh_a?_¹³²
ཇང་	_tɕh_aŋ_¹³
ཇི་	_tɕh_i_¹³
ཇིའི་	_tɕh_i:_¹³
ཇུན་	_tɕh_yn_¹³
ཇུས་	_tɕh_y?_¹³²
ཇེ་	_tɕh_e_¹³
ཇེམ་	_tɕh_em_¹³
ཇོ་	_tɕh_o_¹³
ཉ་	_ȵ_a_¹³
ཉག་	_ȵ_a?_¹³²
ཉན་	_ȵ_an_¹³
ཉབ་	_ȵ_ap_¹³²
ཉམས་	_ȵ_am_¹³²
ཉར་	_ȵ_ar_¹³
ཉལ་	_ȵ_ɛ:_¹³
ཉི་	_ȵ_i_¹³
ཉིང་	_ȵ_iŋ_¹³
ཉིད་	_ȵ_i?_¹³²
ཉིན་	_ȵ_in_¹³
ཉིས་	_ȵ_i?_¹³²
ཉུང་	_ȵ_uŋ_¹³
ཉུལ་	_ȵ_y:_¹³
ཉེ་	_ȵ_e_¹³
ཉེན་	_ȵ_en_¹³
ཉེར་	_ȵ_er_¹³
ཉེས་	_ȵ_e?_¹³²
ཉོ་	_ȵ_o_¹³
ཉོན་	_ȵ_on_¹³
ཉོབ་	_ȵ_op_¹³²
ཉོར་	_ȵ_or_¹³
ཉོས་	_ȵ_ø?_¹³²
ཉྭ་	_ȵ_a_¹³
ཏ་	_t_a_⁵⁵
ཏག་	_t_a?_⁵¹
ཏང་	_t_aŋ_⁵⁵
ཏན་	_t_an_⁵⁵
ཏར་	_t_ar_⁵⁵
ཏི་	_t_i_⁵⁵
ཏིག་	_t_i?_⁵¹
ཏིང་	_t_iŋ_⁵⁵
ཏིའི་	_t_i:_⁵⁵
ཏིར་	_t_ir_⁵⁵
ཏིལ་	_t_i:_⁵⁵
ཏུ་	_t_u_⁵⁵
ཏུའུ་	_t_u:_⁵⁵
ཏེ་	_t_e_⁵⁵
ཏེན་	_t_en_⁵⁵
ཏོ་	_t_o_⁵⁵
ཏོག་	_t_o?_⁵¹
ཏོམ་	_t_om_⁵⁵
ཏྲ་	_tʂ_a_⁵⁵
ཐ་	_th_a_⁵⁵
ཐག་	_th_a?_⁵¹
ཐགས་	_th_a?_⁵¹
ཐང་	_th_aŋ_⁵⁵
ཐད་	_th_ɛ?_⁵¹
ཐན་	_th_an_⁵⁵
ཐབ་	_th_ap_⁵¹
ཐབས་	_thəp_⁵¹
ཐམ་	_th_am_⁵⁵
ཐམས་	_th_am_⁵¹
ཐལ་	_th_ɛ:_⁵⁵
ཐིག་	_th_i?_⁵¹
ཐིགས་	_th_i?_⁵¹
ཐིང་	_th_iŋ_⁵⁵
ཐིབ་	_th_ip_⁵¹
ཐིབས་	_th_ip_⁵¹
ཐིར་	_th_ir_⁵⁵
ཐུག་	_th_u?_⁵¹
ཐུགས་	_th_u?_⁵¹
ཐུང་	_th_uŋ_⁵⁵
ཐུན་	_th_yn_⁵⁵
ཐུབ་	_th_up_⁵¹
ཐུམ་	_th_um_⁵⁵
ཐུར་	_th_ur_⁵⁵
ཐེ་	_th_e_⁵⁵
ཐེག་	_th_e?_⁵¹
ཐེངས་	_th_eŋ_⁵¹
ཐེན་	_th_en_⁵⁵
ཐེབས་	_th_eŋ_⁵¹
ཐེམ་	_th_em_⁵⁵
ཐེར་	_th_er_⁵⁵
ཐེལ་	_th_e:_⁵⁵
ཐོ་	_th_o_⁵⁵
ཐོག་	_th_o?_⁵¹
ཐོགས་	_th_o?_⁵¹
ཐོང་	_th_oŋ_⁵⁵
ཐོད་	_th_ø?_⁵¹
ཐོན་	_th_on_⁵⁵
ཐོབ་	_th_op_⁵¹
ཐོར་	_th_or_⁵⁵
ཐོས་	_th_ø?_⁵¹
ད་	_th_a_¹³
དཀའ་	_k_a_⁵⁵
དཀར་	_k_ar_⁵⁵
དཀོན་	_k_on_⁵⁵
དཀྱིལ་	_c_i:_⁵⁵
དཀྱུས་	_c_y?_⁵¹
དཀྲི་	_tʂ_i_⁵⁵
དཀྲིལ་	_tʂ_i:_⁵⁵
དཀྲིས་	_tʂ_i?_⁵¹
དཀྲུག་	_tʂ_u?_⁵¹
དཀྲུམ་	_tʂ_um_⁵⁵
དཀྲོག་	_tʂ_o?_⁵¹
དཀྲོལ་	_tʂ_ø:_⁵⁵
དག་	_th_a?_¹³²
དགག་	_k_a?_¹³²
དགད་	_k_ɛ?_¹³²
དགའ་	_k_a_¹³
དགུ་	_k_u_¹³
དགུང་	_k_uŋ_¹³
དགུན་	_k_yn_¹³
དགུའི་	_k_y:_¹³
དགུས་	_k_y?_¹³²
དགེ་	_k_e_¹³
དགོང་	_k_oŋ_¹³
དགོངས་	_k_oŋ_¹³²
དགོད་	_k_ø?_¹³²
དགོན་	_k_on_¹³
དགོས་	_k_ø?_¹³²
དགྲ་	_tʂ_a_¹³
དགྲར་	_tʂ_ar_¹³
དང་	_th_aŋ_¹³
དངངས་	_ŋ_aŋ_¹³²
དངུལ་	_ŋ_y:_¹³
དངོ་	_ŋ_o_¹³
དངོས་	_ŋ_ø?_¹³²
དད་	_th_ɛ?_¹³²
དན་	_th_an_¹³
དཔག་	_p_a?_⁵¹
དཔང་	_p_aŋ_⁵⁵
དཔའ་	_p_a_⁵⁵
དཔལ་	_p_ɛ:_⁵⁵
དཔུང་	_p_uŋ_⁵⁵
དཔེ་	_p_e_⁵⁵
དཔེའི་	_p_e:_⁵⁵
དཔེར་	_p_er_⁵⁵
དཔོན་	_p_on_⁵⁵
དཔྱ་	_tɕ_a_⁵⁵
དཔྱད་	_tɕ_ɛ?_⁵¹
དཔྱིད་	_tɕ_i?_⁵¹
དབང་	_w_aŋ_¹³
དབུ་	_w_u_¹³
དབུགས་	_w_u?_¹³²
དབུལ་	_w_y:_¹³
དབུས་	_w_y?_¹³²
དབེན་	_w_en_¹³
དབོར་	_w_or_¹³
དབྱང་	_j_aŋ_¹³
དབྱངས་	_j_aŋ_¹³²
དབྱར་	_j_ar_¹³
དབྱི་	_j_i_¹³
དབྱིངས་	_j_iŋ_¹³²
དབྱིན་	_j_in_¹³
དབྱིབས་	_j_ip_¹³²
དབྱུག་	_j_u?_¹³²
དབྱེ་	_j_e_¹³
དབྲག་	_ɹ_a?_¹³²
དབྲིལ་	_ɹ_i:_¹³
དམ་	_m_a_¹³
དམག་	_m_a?_¹³²
དམངས་	_m_aŋ_¹³²
དམའ་	_m_a_¹³
དམར་	_m_ar_¹³
དམིགས་	_m_i?_¹³²
དམུལ་	_m_y:_¹³
དམྱལ་	_ȵ_ɛ:_¹³
དར་	_th_ar_¹³
དལ་	_th_ɛ:_¹³
དིམ་	_th_im_¹³
དུ་	_th_u_¹³
དུག་	_th_u?_¹³²
དུང་	_th_uŋ_¹³
དུད་	_th_y?_¹³²
དུབ་	_th_up_¹³²
དུམ་	_th_um_¹³
དུར་	_th_ur_¹³
དུས་	_th_y?_¹³²
དེ་	_th_e_¹³
དེང་	_th_eŋ_¹³
དེད་	_th_e?_¹³²
དེབ་	_th_ep_¹³²
དེའི་	_th_e:_¹³
དེར་	_th_er_¹³
དེས་	_th_e?_¹³²
དོ་	_th_o_¹³
དོག་	_th_o?_¹³²
དོགས་	_th_o?_¹³²
དོང་	_th_oŋ_¹³
དོད་	_th_ø?_¹³²
དོན་	_th_on_¹³
དོམ་	_th_om_¹³
དོར་	_th_or_¹³
དྲ་	_tʂ_a_¹³
དྲག་	_tʂ_a?_¹³²
དྲགས་	_tʂ_a?_¹³²
དྲང་	_tʂ_aŋ_¹³
དྲངས་	_tʂ_aŋ_¹³²
དྲན་	_tʂ_an_¹³
དྲི་	_tʂ_i_¹³
དྲིན་	_tʂ_in_¹³
དྲིལ་	_tʂ_i:_¹³
དྲུག་	_tʂ_u?_¹³²
དྲུང་	_tʂ_uŋ_¹³
དྲེག་	_tʂ_e?_¹³²
དྲེགས་	_tʂ_e?_¹³²
དྲེལ་	_tʂ_e:_¹³
དྲོ་	_tʂ_o_¹³
དྲོད་	_tʂ_ø?_¹³²
དྲོའི་	_tʂ_ø:_¹³
ན་	_n_a_¹³
ནགས་	_n_a?_¹³²
ནང་	_n_aŋ_¹³
ནད་	_n_ɛ?_¹³²
ནན་	_n_an_¹³
ནམ་	_n_am_¹³
ནམས་	_n_am_¹³²
ནའི་	_n_ɛ:_¹³
ནར་	_n_ar_¹³
ནས་	_n_ɛ?_¹³²
ནི་	_n_i_¹³
ནིང་	_n_iŋ_¹³
ནུ་	_n_u_¹³
ནུབ་	_n_up_¹³²
ནུས་	_n_y?_¹³²
ནེ་	_n_e_¹³
ནེའི་	_n_e:_¹³
ནེའུ་	_n_i_u_¹³
ནོར་	_n_or_¹³
པ་	_p_a_⁵⁵
པག་	_p_a?_⁵¹
པགས་	_p_a?_⁵¹
པང་	_p_aŋ_⁵⁵
པད་	_p_ɛ?_⁵¹
པན་	_p_an_⁵⁵
པའི་	_p_ɛ:_⁵⁵
པར་	_p_ar_⁵⁵
པས་	_p_ɛ?_⁵¹
པི་	_p_i_⁵⁵
པིག་	_p_i?_⁵¹
པིང་	_p_iŋ_⁵⁵
པིན་	_p_in_⁵⁵
པིར་	_p_ir_⁵⁵
པུ་	_p_u_⁵⁵
པུའུ་	_p_u:_⁵⁵
པུར་	_p_ur_⁵⁵
པུས་	_p_y?_⁵¹
པེ་	_p_e_⁵⁵
པོ་	_p_o_⁵⁵
པོའི་	_p_ø:_⁵⁵
པོར་	_p_or_⁵⁵
པོས་	_p_ø?_⁵¹
ཕ་	_ph_a_⁵⁵
ཕག་	_ph_a?_⁵¹
ཕངས་	_ph_aŋ_⁵¹
ཕད་	_ph_ɛ?_⁵¹
ཕན་	_ph_an_⁵⁵
ཕབས་	_phəp_⁵¹
ཕམ་	_ph_am_⁵⁵
ཕར་	_ph_ar_⁵⁵
ཕལ་	_ph_ɛ:_⁵⁵
ཕི་	_ph_i_⁵⁵
ཕིག་	_ph_i?_⁵¹
ཕིན་	_ph_in_⁵⁵
ཕིབས་	_ph_ip_⁵¹
ཕུ་	_ph_u_⁵⁵
ཕུག་	_ph_u?_⁵¹
ཕུགས་	_ph_u?_⁵¹
ཕུང་	_ph_uŋ_⁵⁵
ཕུད་	_ph_y?_⁵¹
ཕུན་	_ph_yn_⁵⁵
ཕུབ་	_ph_up_⁵¹
ཕུར་	_ph_ur_⁵⁵
ཕུལ་	_ph_y:_⁵⁵
ཕེབས་	_ph_eŋ_⁵¹
ཕོ་	_ph_o_⁵⁵
ཕོག་	_ph_o?_⁵¹
ཕོགས་	_ph_o?_⁵¹
ཕོད་	_ph_ø?_⁵¹
ཕོའི་	_ph_ø:_⁵⁵
ཕོར་	_ph_or_⁵⁵
ཕྱག་	_tɕh_a?_⁵¹
ཕྱགས་	_tɕh_a?_⁵¹
ཕྱི་	_tɕh_i_⁵⁵
ཕྱིང་	_tɕh_iŋ_⁵⁵
ཕྱིན་	_tɕh_in_⁵⁵
ཕྱིའི་	_tɕh_i:_⁵⁵
ཕྱིར་	_tɕh_ir_⁵⁵
ཕྱིས་	_tɕh_i?_⁵¹
ཕྱུ་	_tɕh_u_⁵⁵
ཕྱུག་	_tɕh_u?_⁵¹
ཕྱུགས་	_tɕh_u?_⁵¹
ཕྱུར་	_tɕh_ur_⁵⁵
ཕྱེ་	_tɕh_e_⁵⁵
ཕྱེད་	_tɕh_e?_⁵¹
ཕྱེས་	_tɕh_e?_⁵¹
ཕྱོགས་	_tɕh_o?_⁵¹
ཕྲ་	_tʂh_a_⁵⁵
ཕྲག་	_tʂh_a?_⁵¹
ཕྲད་	_tʂh_ɛ?_⁵¹
ཕྲན་	_tʂh_an_⁵⁵
ཕྲལ་	_tʂh_ɛ:_⁵⁵
ཕྲུ་	_tʂh_u_⁵⁵
ཕྲུག་	_tʂh_u?_⁵¹
ཕྲེང་	_tʂh_eŋ_⁵⁵
བ་	_ph_a_¹³
བཀག་	_k_a?_⁵¹
བཀའ་	_k_a_⁵⁵
བཀར་	_k_ar_⁵⁵
བཀལ་	_k_ɛ:_⁵⁵
བཀུམ་	_k_um_⁵⁵
བཀུར་	_k_ur_⁵⁵
བཀོག་	_k_o?_⁵¹
བཀོད་	_k_ø?_⁵¹
བཀོལ་	_k_ø:_⁵⁵
བཀྱག་	_c_a?_⁵¹
བཀྱོན་	_c_on_⁵⁵
བཀྲ་	_tʂ_a_⁵⁵
བཀྲག་	_tʂ_a?_⁵¹
བཀྲམ་	_tʂ_am_⁵⁵
བཀྲིས་	_tʂ_i?_⁵¹
བཀྲུ་	_tʂ_u_⁵⁵
བཀྲུས་	_tʂ_y?_⁵¹
བཀྲེན་	_tʂ_en_⁵⁵
བཀྲེས་	_tʂ_e?_⁵¹
བཀྲོལ་	_tʂ_ø:_⁵⁵
བག་	_k_a_¹³
བགོད་	_k_ø?_¹³²
བགོས་	_k_ø?_¹³²
བགྲེས་	_tʂ_e?_¹³²
བགྲོད་	_tʂ_ø?_¹³²
བང་	_ph_aŋ_¹³
བཅག་	_tɕ_a?_⁵¹
བཅང་	_tɕ_aŋ_⁵⁵
བཅངས་	_tɕ_aŋ_⁵¹
བཅད་	_tɕ_ɛ?_⁵¹
བཅའ་	_tɕ_a_⁵⁵
བཅར་	_tɕ_ar_⁵⁵
བཅས་	_tɕ_ɛ?_⁵¹
བཅིངས་	_tɕ_iŋ_⁵¹
བཅུ་	_tɕ_u_⁵⁵
བཅུག་	_tɕ_u?_⁵¹
བཅུད་	_tɕ_y?_⁵¹
བཅོ་	_tɕ_o_⁵⁵
བཅོམ་	_tɕ_om_⁵⁵
བཅོལ་	_tɕ_ø:_⁵⁵
བཅོས་	_tɕ_ø?_⁵¹
བཏགས་	_t_a?_⁵¹
བཏང་	_t_aŋ_⁵⁵
བཏབ་	_t_ap_⁵¹
བཏིང་	_t_iŋ_⁵⁵
བཏུང་	_t_uŋ_⁵⁵
བཏུབ་	_t_up_⁵¹
བཏུས་	_t_y?_⁵¹
བཏེགས་	_t_e?_⁵¹
བཏོན་	_t_on_⁵⁵
བད་	_t_a_¹³
བདག་	_t_a?_¹³²
བདུད་	_t_y?_¹³²
བདུན་	_t_yn_¹³
བདེ་	_t_e_¹³
བདེན་	_t_en_¹³
བདེའི་	_t_e:_¹³
བབ་	_ph_ap_¹³²
བབས་	_phəp_¹³²
བམ་	_ph_am_¹³
བཙན་	_ts_an_⁵⁵
བཙའི་	_ts_ɛ:_⁵⁵
བཙལ་	_ts_ɛ:_⁵⁵
བཙིར་	_ts_ir_⁵⁵
བཙུགས་	_ts_u?_⁵¹
བཙུན་	_ts_yn_⁵⁵
བཙུམ་	_ts_um_⁵⁵
བཙེམ་	_ts_em_⁵⁵
བཙོག་	_ts_o?_⁵¹
བཙོང་	_ts_oŋ_⁵⁵
བཙོན་	_ts_on_⁵⁵
བཞག་	_ɕ_a?_¹³²
བཞི་	_ɕ_i_¹³
བཞིན་	_ɕ_in_¹³
བཞིའི་	_ɕ_i:_¹³
བཞུ་	_ɕ_u_¹³
བཞུད་	_ɕ_y?_¹³²
བཞུར་	_ɕ_ur_¹³
བཞུས་	_ɕ_y?_¹³²
བཞེངས་	_ɕ_eŋ_¹³²
བཞེད་	_ɕ_e?_¹³²
བཞེས་	_ɕ_e?_¹³²
བཞོ་	_ɕ_o_¹³
བཞོག་	_ɕ_o?_¹³²
བཞོན་	_ɕ_on_¹³
བཟང་	_s_aŋ_¹³
བཟའ་	_s_a_¹³
བཟས་	_s_ɛ?_¹³²
བཟི་	_s_i_¹³
བཟུང་	_s_uŋ_¹³
བཟོ་	_s_o_¹³
བཟོད་	_s_ø?_¹³²
བཟོས་	_s_ø?_¹³²
བའི་	_ph_ɛ:_¹³
བར་	_ph_ar_¹³
བརྐོས་	_k_ø?_⁵¹
བརྒལ་	_k_ɛ:_¹³
བརྒྱ་	_c_a_¹³
བརྒྱད་	_c_ɛ?_¹³²
བརྒྱབ་	_c_ap_¹³²
བརྒྱུད་	_c_y?_¹³²
བརྒྱུས་	_c_y?_¹³²
བརྗིད་	_tɕ_i?_¹³²
བརྗེ་	_tɕ_e_¹³
བརྗེད་	_tɕ_e?_¹³²
བརྗེས་	_tɕ_e?_¹³²
བརྗོད་	_tɕ_ø?_¹³²
བརྟག་	_t_a?_⁵¹
བརྟན་	_t_an_⁵⁵
